Africa                28    41    63
Belize                 6     4     8
Bolivia               21    51    74
Brazil               164   178   139
Cambodia               0    59    16
Canada                12    12     6
Chile                252   263   176
China                 52    62   201
Colombia             699   527   403
Costa Rica            73    55    65
Dominican Republic    54    50    41
Ecuador               41    11    36
El Salvador           88   122   115
Greece                10     5     M
Guatamala            209   324   428
Haiti                 41    52    49
Honduras             161   244   253
Hong Kong             49    40    27
Hungary                6    25    24
India                698   448   348
Jamaica               30    39    29
Japan                 69    83    71
Lebanon               23    17    16
Mexico               123   106   104
Nicaragua              5    11     8
Oceania               15    16    13
Pakistan              10     9    15
Panama                23    10    15
Paraguay             300   177   244
Peru                 142   722   324
Phillipines          476   417   353
Poland                51    95   109
Portugal              17    10     M
Romania                0  2552   145
South Korea         4942  1817  1787
Taiwan                56    55    35
Thailand              75   127    90
Turkey                11     6     7
Vietnam                1    17    23
